,State,State Code,GENERATION
0,Alaska,AK,5943528
1,Alabama,AL,142955138
2,Arkansas,AR,60230136
3,Arizona,AZ,108608533
4,California,CA,196727105
5,Colorado,CO,56737718
6,Connecticut,CT,44123571
7,District of Columbia,DC,218238
8,Delaware,DE,4039971
9,Florida,FL,244401034
10,Georgia,GA,126530744
11,Hawaii,HI,9188093
12,Iowa,IA,66120267
13,Idaho,ID,16948588
14,Illinois,IL,181859368
15,Indiana,IN,94565164
16,Kansas,KS,56745953
17,Kentucky,KY,70554263
18,Louisiana,LA,98061963
19,Massachusetts,MA,19366997
20,Maryland,MD,39719295
21,Maine,ME,10952775
22,Michigan,MI,116045383
23,Minnesota,MN,59628021
24,Missouri,MO,77815979
25,Mississippi,MS,68713326
26,Montana,MT,24466639
27,North Carolina,NC,131262683
28,North Dakota,ND,42705233
29,Nebraska,NE,38644645
30,New Hampshire,NH,17434992
31,New Jersey,NJ,61386525
32,New Mexico,NM,35271295
33,Nevada,NV,41880183
34,New York,NY,125226023
35,Ohio,OH,123335607
36,Oklahoma,OK,80564126
37,Oregon,OR,61081837
38,Pennsylvania,PA,241648360
39,Rhode Island,RI,8035014
40,South Carolina,SC,99924403
41,South Dakota,SD,17834631
42,Tennessee,TN,81478885
43,Texas,TX,483561772
44,Utah,UT,42656778
45,Virginia,VA,94309018
46,Vermont,VT,2147736
47,Washington,WA,109122717
48,Wisconsin,WI,65478673
49,West Virginia,WV,65630557
50,Wyoming,WY,43650670
